DEPARTAMENTO,PROVINCIA,DISTRITO,ANIO,MES,TIPO_PRUEBA,CANTIDAD_PRUEBAS,Departamento_idx,Provincia_idx,Distrito_idx,TipoPrueba_idx,prediction
AMAZONAS,BAGUA,IMAZA,2021,3,AG,5,14.0,57.0,266.0,1.0,77.98675411070872
AMAZONAS,BAGUA,IMAZA,2021,3,PR,16,14.0,57.0,266.0,0.0,72.75859198687249
AMAZONAS,BAGUA,IMAZA,2021,4,PCR,2,14.0,57.0,266.0,2.0,76.55317557851959
AMAZONAS,BAGUA,IMAZA,2021,4,AG,57,14.0,57.0,266.0,1.0,71.32501345468336
AMAZONAS,BAGUA,IMAZA,2021,4,PR,6,14.0,57.0,266.0,0.0,66.09685133084713
AMAZONAS,BAGUA,IMAZA,2021,5,AG,65,14.0,57.0,266.0,1.0,64.66327279867255
AMAZONAS,BAGUA,IMAZA,2021,5,PCR,1,14.0,57.0,266.0,2.0,69.89143492250878
AMAZONAS,BAGUA,IMAZA,2021,5,PR,16,14.0,57.0,266.0,0.0,59.435110674836324
AMAZONAS,BAGUA,IMAZA,2021,6,PR,6,14.0,57.0,266.0,0.0,52.773370018810965
AMAZONAS,BAGUA,IMAZA,2021,6,PCR,1,14.0,57.0,266.0,2.0,63.22969426648342
AMAZONAS,BAGUA,IMAZA,2021,6,AG,55,14.0,57.0,266.0,1.0,58.00153214264719
AMAZONAS,BAGUA,IMAZA,2021,7,PR,5,14.0,57.0,266.0,0.0,46.11162936278561
AMAZONAS,BAGUA,IMAZA,2021,7,AG,34,14.0,57.0,266.0,1.0,51.339791486621834
AMAZONAS,BAGUA,IMAZA,2021,7,PCR,1,14.0,57.0,266.0,2.0,56.56795361045806
AMAZONAS,BAGUA,IMAZA,2021,8,AG,9,14.0,57.0,266.0,1.0,44.67805083061103
AMAZONAS,BAGUA,IMAZA,2021,8,PR,2,14.0,57.0,266.0,0.0,39.4498887067748
AMAZONAS,BAGUA,IMAZA,2021,9,AG,1,14.0,57.0,266.0,1.0,38.01631017458567
AMAZONAS,BAGUA,IMAZA,2021,9,PR,2,14.0,57.0,266.0,0.0,32.78814805074944
AMAZONAS,BAGUA,IMAZA,2021,10,AG,3,14.0,57.0,266.0,1.0,31.35456951856031
AMAZONAS,BAGUA,IMAZA,2021,10,PR,1,14.0,57.0,266.0,0.0,26.126407394724083
AMAZONAS,BAGUA,IMAZA,2021,11,AG,37,14.0,57.0,266.0,1.0,24.692828862549504
